,,,,,,,train_acc,train_pre,train_rec,train_f1,train_f2,train_auc,test_acc,test_pre,test_rec,test_f1,test_f2,test_auc,c_correct_percent
38324-rad,348-004,p,fc,,200,rec,1,1,1,1,1,1,0.805,0.744,0.853,0.795,0.829,0.883,1
38324-ang,348-004,z,fc,,100,f2,1,1,1,1,1,1,0.805,0.744,0.853,0.795,0.829,0.901,1
38324-rad,348-004,p,f,,300,pre,1,1,1,1,1,1,0.805,0.744,0.853,0.795,0.829,0.895,1
38324-rad,348-004,m,f,,300,pre,1,1,1,1,1,1,0.857,0.848,0.824,0.836,0.828,0.896,0.5
38324-ang,348-004,en,fc,,200,pre,1,1,1,1,1,1,0.857,0.848,0.824,0.836,0.828,0.892,0.5
65536-ang,348-004,ea,fc,,100,f2,1,1,1,1,1,1,0.805,0.703,0.867,0.776,0.828,0.831,0.5
98765-rad,348-004,z,fc,,15,rec,1,1,1,1,1,1,0.753,0.696,0.865,0.771,0.825,0.799,0.5
14122-ang,348-004,z,f,,30,f2,1,1,1,1,1,1,0.766,0.705,0.861,0.775,0.824,0.823,1
14122-ang,348-004,z,f,,15,rec,1,1,1,1,1,1,0.766,0.705,0.861,0.775,0.824,0.806,0.5
14122-ang,348-004,z,f,,30,pre,1,1,1,1,1,1,0.766,0.705,0.861,0.775,0.824,0.824,1
14122-ang,348-004,z,f,,30,acc,1,1,1,1,1,1,0.766,0.705,0.861,0.775,0.824,0.824,1
14122-ang,348-004,ea,c,,200,f2,1,1,1,1,1,1,0.766,0.705,0.861,0.775,0.824,0.829,1
14122-rad,348-004,z,c,,100,f2,1,1,1,1,1,1,0.766,0.705,0.861,0.775,0.824,0.785,1
1379-rad,348-004,ea,fc,,60,f2,1,1,1,1,1,1,0.805,0.775,0.838,0.805,0.824,0.857,1
1379-rad,348-004,ea,fc,,60,rec,1,1,1,1,1,1,0.805,0.775,0.838,0.805,0.824,0.857,1
1379-rad,348-004,ea,fc,,60,acc,1,1,1,1,1,1,0.805,0.775,0.838,0.805,0.824,0.857,1
98765-ang,348-004,ea,c,,30,f2,1,1,1,1,1,1,0.805,0.775,0.838,0.805,0.824,0.811,1
98765-ang,348-004,ea,c,,30,acc,1,1,1,1,1,1,0.805,0.775,0.838,0.805,0.824,0.811,1
98765-ang,348-004,ie,fc,,100,acc,1,1,1,1,1,1,0.805,0.775,0.838,0.805,0.824,0.836,0.5
98765-ang,348-004,en,f,,100,pre,1,1,1,1,1,1,0.805,0.775,0.838,0.805,0.824,0.81,0.5
14122-ang,348-004,en,fc,,300,f2,1,1,1,1,1,1,0.818,0.789,0.833,0.811,0.824,0.858,0.5
14122-ang,348-004,en,fc,,300,rec,1,1,1,1,1,1,0.818,0.789,0.833,0.811,0.824,0.858,0.5
24-ang,348-004,z,f,,15,f2,1,1,1,1,1,1,0.818,0.789,0.833,0.811,0.824,0.814,1
24-ang,348-004,z,f,,15,rec,1,1,1,1,1,1,0.818,0.789,0.833,0.811,0.824,0.814,1
24-ang,348-004,ea,fc,,200,f2,1,1,1,1,1,1,0.818,0.789,0.833,0.811,0.824,0.832,1
24-ang,348-004,ea,fc,,200,rec,1,1,1,1,1,1,0.818,0.789,0.833,0.811,0.824,0.832,1
24-ang,348-004,ea,fc,,200,pre,1,1,1,1,1,1,0.818,0.789,0.833,0.811,0.824,0.834,1
24-ang,348-004,ea,fc,,200,acc,1,1,1,1,1,1,0.818,0.789,0.833,0.811,0.824,0.832,1
24-ang,348-004,ea,f,,30,f2,0.989,0.984,0.992,0.988,0.99,1,0.818,0.789,0.833,0.811,0.824,0.879,1
14122-rad,348-004,r,fc,,300,pre,1,1,1,1,1,1,0.818,0.789,0.833,0.811,0.824,0.874,0.5
38324-ang,348-004,ie,fc,,200,f2,1,1,1,1,1,1,0.844,0.824,0.824,0.824,0.824,0.914,0.5
38324-ang,348-004,ie,fc,,200,rec,1,1,1,1,1,1,0.844,0.824,0.824,0.824,0.824,0.914,0.5
38324-ang,348-004,ea,c,,100,acc,1,1,1,1,1,1,0.844,0.824,0.824,0.824,0.824,0.872,1
38324-rad,348-004,m,f,,300,acc,1,1,1,1,1,1,0.844,0.824,0.824,0.824,0.824,0.896,0.5
38324-ang,348-004,ea,fc,,200,f2,1,1,1,1,1,1,0.844,0.824,0.824,0.824,0.824,0.876,0
38324-ang,348-004,ea,fc,,200,rec,1,1,1,1,1,1,0.844,0.824,0.824,0.824,0.824,0.876,0
65536-rad,348-004,ie,c,,60,pre,1,1,1,1,1,1,0.74,0.614,0.9,0.73,0.823,0.789,1
65536-rad,348-004,z,c,,100,f2,1,1,1,1,1,1,0.74,0.614,0.9,0.73,0.823,0.794,0.5
65536-rad,348-004,z,c,,100,rec,1,1,1,1,1,1,0.74,0.614,0.9,0.73,0.823,0.796,0.5
65536-ang,348-004,ea,c,,300,pre,1,1,1,1,1,1,0.74,0.614,0.9,0.73,0.823,0.821,1
65536-ang,348-004,ea,c,,300,acc,1,1,1,1,1,1,0.74,0.614,0.9,0.73,0.823,0.821,1
65536-ang,348-004,ea,,,200,acc,1,1,1,1,1,1,0.792,0.684,0.867,0.765,0.823,0.81,1
65536-ang,348-004,ea,fc,,60,pre,1,1,1,1,1,1,0.792,0.684,0.867,0.765,0.823,0.839,0.5
65536-ang,348-004,ea,fc,,60,acc,1,1,1,1,1,1,0.792,0.684,0.867,0.765,0.823,0.839,0.5
65536-ang,348-004,ea,f,,60,f2,1,1,1,1,1,1,0.792,0.684,0.867,0.765,0.823,0.843,0.5
65536-ang,348-004,ea,f,,30,f2,1,1,1,1,1,1,0.792,0.684,0.867,0.765,0.823,0.823,0.5
65536-ang,348-004,ea,f,,60,rec,1,1,1,1,1,1,0.792,0.684,0.867,0.765,0.823,0.843,0.5
65536-ang,348-004,ea,f,,100,acc,1,1,1,1,1,1,0.792,0.684,0.867,0.765,0.823,0.82,0.5
65536-ang,348-004,ea,f,,60,acc,1,1,1,1,1,1,0.792,0.684,0.867,0.765,0.823,0.843,0.5
98765-ang,348-004,ie,f,,200,f2,1,1,1,1,1,1,0.74,0.681,0.865,0.762,0.821,0.799,0.5
98765-ang,348-004,en,fc,,30,rec,1,1,1,1,1,1,0.74,0.681,0.865,0.762,0.821,0.807,1
14122-rad,348-004,z,f,,60,f2,1,1,1,1,1,1,0.753,0.689,0.861,0.765,0.82,0.852,0.5
14122-ang,348-004,m,,,300,pre,1,1,1,1,1,1,0.753,0.689,0.861,0.765,0.82,0.817,0.5
14122-rad,348-004,z,,,60,f2,0.996,1,0.992,0.996,0.994,1,0.753,0.689,0.861,0.765,0.82,0.848,0.5
14122-rad,348-004,z,,,60,rec,0.996,1,0.992,0.996,0.994,1,0.753,0.689,0.861,0.765,0.82,0.848,0.5
98765-rad,348-004,ea,fc,,15,f2,1,1,1,1,1,1,0.792,0.756,0.838,0.795,0.82,0.816,1
98765-ang,348-004,ie,fc,,60,f2,1,1,1,1,1,1,0.792,0.756,0.838,0.795,0.82,0.816,1
98765-ang,348-004,ie,fc,,60,rec,1,1,1,1,1,1,0.792,0.756,0.838,0.795,0.82,0.816,1
1379-rad,348-004,ie,fc,,60,pre,1,1,1,1,1,1,0.792,0.756,0.838,0.795,0.82,0.823,0.5
1379-ang,348-004,ea,f,,100,f2,1,1,1,1,1,1,0.792,0.756,0.838,0.795,0.82,0.872,0.5
1379-ang,348-004,ea,f,,100,rec,1,1,1,1,1,1,0.792,0.756,0.838,0.795,0.82,0.872,0.5
1379-ang,348-004,ea,f,,15,pre,1,1,1,1,1,1,0.792,0.756,0.838,0.795,0.82,0.861,0.5
98765-rad,348-004,r,f,,300,pre,1,1,1,1,1,1,0.792,0.756,0.838,0.795,0.82,0.818,1
24-ang,348-004,ea,c,,200,acc,1,1,1,1,1,1,0.805,0.769,0.833,0.8,0.82,0.828,1
14122-ang,348-004,ea,f,,30,pre,1,1,1,1,1,1,0.805,0.769,0.833,0.8,0.82,0.865,0.5
